iter	Passed	Remaining
0	90	180952
1	157	157626
2	221	147628
3	281	140685
4	347	138730
5	410	136510
6	473	134894
7	530	131994
8	585	129573
9	659	131155
10	726	131352
11	780	129375
12	840	128463
13	910	129208
14	974	128964
15	1035	128461
16	1105	128896
17	1166	128484
18	1224	127671
19	1278	126617
20	1334	125732
21	1412	127022
22	1479	127133
23	1556	128149
24	1632	128956
25	1691	128412
26	1749	127840
27	1828	128747
28	1892	128618
29	1956	128451
30	2026	128745
31	2101	129238
32	2155	128502
33	2225	128700
34	2295	128872
35	2367	129173
36	2429	128882
37	2497	128968
38	2558	128663
39	2603	127557
40	2657	126996
41	2740	127758
42	2806	127740
43	2893	128635
44	2970	129065
45	3050	129564
46	3130	130080
47	3198	130083
48	3262	129899
49	3328	129802
50	3390	129580
51	3444	129024
52	3501	128623
53	3577	128916
54	3653	129185
55	3739	129831
56	3821	130256
57	3897	130493
58	3960	130307
59	4035	130469
60	4103	130450
61	4203	131402
62	4272	131368
63	4357	131817
64	4448	132441
65	4541	133072
66	4624	133426
67	4705	133685
68	4753	133029
69	4823	133004
70	4914	133523
71	4990	133629
72	5073	133920
73	5158	134256
74	5256	134920
75	5329	134929
76	5401	134894
77	5469	134770
78	5545	134847
79	5614	134743
80	5691	134832
81	5775	135100
82	5859	135326
83	5937	135424
84	6006	135323
85	6086	135470
86	6173	135744
87	6241	135618
88	6312	135536
89	6387	135550
90	6463	135600
91	6538	135603
92	6610	135547
93	6674	135344
94	6750	135371
95	6835	135572
96	6910	135579
97	6993	135733
98	7081	135974
99	7164	136126
100	7242	136166
101	7311	136059
102	7406	136402
103	7490	136551
104	7559	136437
105	7644	136583
106	7723	136646
107	7824	137073
108	7890	136882
109	7960	136782
110	8047	136947
111	8139	137206
112	8222	137305
113	8287	137110
114	8381	137378
115	8457	137358
116	8527	137236
117	8591	137026
118	8686	137306
119	8772	137439
120	8857	137552
121	8927	137425
122	8995	137265
123	9068	137199
124	9146	137196
125	9225	137203
126	9302	137188
127	9377	137151
128	9454	137123
129	9525	137019
130	9608	137080
131	9691	137146
132	9774	137205
133	9859	137299
134	9929	137176
135	10011	137217
136	10082	137113
137	10157	137056
138	10236	137056
139	10309	136970
140	10378	136836
141	10453	136780
142	10546	136952
143	10628	136994
144	10713	137057
145	10795	137089
146	10864	136955
147	10937	136863
148	11021	136920
149	11075	136602
150	11148	136510
151	11212	136316
152	11293	136335
153	11376	136374
154	11465	136474
155	11558	136624
156	11629	136521
157	11700	136409
158	11789	136506
159	11860	136392
160	11935	136335
161	12013	136297
162	12091	136274
163	12233	136952
164	12269	136447
165	12356	136515
166	12434	136486
167	12511	136435
168	12577	136269
169	12652	136205
170	12713	135986
171	12789	135929
172	12850	135706
173	12928	135673
174	13010	135678
175	13082	135578
176	13180	135749
177	13254	135673
178	13332	135629
179	13431	135807
180	13491	135583
181	13575	135610
182	13652	135550
183	13722	135435
184	13795	135341
185	13879	135357
186	13962	135365
187	14041	135334
188	14117	135269
189	14197	135250
190	14288	135327
191	14373	135353
192	14453	135325
193	14503	135014
194	14582	134976
195	14626	134623
196	14720	134722
197	14797	134669
198	14890	134759
199	14970	134734
200	15041	134621
201	15122	134601
202	15177	134351
203	15248	134244
204	15316	134109
205	15384	133979
206	15457	133893
207	15532	133819
208	15618	133837
209	15696	133794
210	15756	133592
211	15838	133583
212	15909	133476
213	15987	133428
214	16047	133235
215	16122	133162
216	16207	133167
217	16285	133122
218	16363	133073
219	16444	133053
220	16539	133139
221	16615	133077
222	16682	132935
223	16763	132913
224	16836	132821
225	16924	132851
226	17014	132889
227	17085	132784
228	17153	132657
229	17234	132629
230	17301	132494
231	17374	132404
232	17467	132466
233	17538	132359
234	17630	132418
235	17717	132428
236	17796	132388
237	17889	132446
238	17973	132430
239	18050	132371
240	18119	132250
241	18206	132259
242	18279	132168
243	18361	132145
244	18434	132052
245	18499	131904
246	18571	131807
247	18655	131793
248	18733	131737
249	18809	131669
250	18898	131687
251	18967	131569
252	19058	131601
253	19139	131565
254	19208	131449
255	19299	131480
256	19377	131417
257	19454	131352
258	19533	131301
259	19615	131269
260	19702	131271
261	19775	131183
262	19863	131192
263	19944	131150
264	20033	131163
265	20121	131170
266	20221	131250
267	20293	131150
268	20369	131073
269	20442	130985
270	20511	130864
271	20588	130799
